movie_id,department,gender,job,name
1480,Directing,1.0,Script Supervisor,Betty A. Griffin
13667,Directing,1.0,Script Supervisor,Maria Lease
137,Directing,1.0,Script Supervisor,Judi Townsend
15143,Directing,1.0,Script Supervisor,Pamela Alch
14370,Directing,1.0,Director,Martha Coolidge
655,Directing,1.0,Assistant Director,Claire Denis
655,Directing,1.0,Script Supervisor,Helen Caldwell
41801,Directing,1.0,Director,Susan Streitfeld
7340,Directing,1.0,Script Supervisor,Hannah Scheel
21539,Directing,1.0,Director,Penny Marshall
64900,Directing,1.0,Director,Claire Denis
1573,Directing,1.0,Script Supervisor,Annette Haywood-Carter
621,Directing,1.0,Script Supervisor,Joyce King
9037,Directing,1.0,Director,Patricia Birch
168535,Directing,1.0,Script Supervisor,Christine Gee
578,Directing,1.0,Script Supervisor,Charlsie Bryant
41240,Directing,1.0,Director,Anjelica Huston
9819,Directing,1.0,First Assistant Director,Ellen H. Schwartz
4232,Directing,1.0,Script Supervisor,Annie Welles
27265,Directing,1.0,Script Supervisor,Ana Maria Quintana
36758,Directing,1.0,Director,Jane Campion
34314,Directing,1.0,Script Supervisor,Julie Pitkanen
9619,Directing,1.0,Script Supervisor,Judi Townsend
19952,Directing,1.0,Director,Tamra Davis
28005,Directing,1.0,Director,Mira Nair
9403,Directing,1.0,Director,Betty Thomas
12723,Directing,1.0,Script Supervisor,Karen Golden
93946,Directing,1.0,Director,Angela Pope
12793,Directing,1.0,Script Supervisor,Jamie Babbit
12499,Directing,1.0,Script Supervisor,Judith Saunders
53023,Directing,1.0,Director,Agnès Varda
330,Directing,1.0,Script Supervisor,Ana Maria Quintana
45671,Directing,1.0,Director,Clare Peploe
17770,Directing,1.0,Script Supervisor,Paula Barrett-Barbier
15170,Directing,1.0,Director,Caroline Thompson
1639,Directing,1.0,Script Supervisor,Trudy Ramirez
106129,Directing,1.0,Director,Adrienne Shelly
107743,Directing,1.0,Director,Dana Lustig
754,Directing,1.0,Script Supervisor,Cate Hardman
607,Directing,1.0,Script Supervisor,Mary Bailey
18080,Directing,1.0,Director,Martha Coolidge
686,Directing,1.0,Script Supervisor,Luca Kouimelis
9772,Directing,1.0,Script Supervisor,Dianne Dreyer
10806,Directing,1.0,Script Supervisor,Eva Z. Cabrera
9433,Directing,1.0,Script Supervisor,Christine Wilson
6623,Directing,1.0,Director,Mimi Leder
2118,Directing,1.0,Script Supervisor,Sharron Reynolds
66588,Directing,1.0,Director,Jocelyn Moorhouse
14289,Directing,1.0,Script Supervisor,Melanie Mander
33657,Directing,1.0,Script Supervisor,Trudy Ramirez
68924,Directing,1.0,Script Supervisor,Mary Cybulski
45019,Directing,1.0,Director,Agnieszka Holland
1959,Directing,1.0,Director,Beeban Kidron
45153,Directing,1.0,Director,Kasi Lemmons
99002,Directing,1.0,Director,Claire Denis
34838,Directing,1.0,Director,Sally Potter
10215,Directing,1.0,Script Supervisor,Ceri Evans
9407,Directing,1.0,Script Supervisor,Luca Kouimelis
9414,Directing,1.0,Script Supervisor,Sally Jones
8078,Directing,1.0,Script Supervisor,Shannon Kenny
10371,Directing,1.0,Script Supervisor,Lori Doherty
9714,Directing,1.0,Script Supervisor,Dru Anne Carlson
586,Directing,1.0,Script Supervisor,Julie Pitkanen
2666,Directing,1.0,Script Supervisor,Sophie Fabbri-Jackson
11258,Directing,1.0,Script Supervisor,Mary Anne Seward
9490,Directing,1.0,Director,Tamra Davis
66894,Directing,1.0,Director,Millicent Shelton
10153,Directing,1.0,Script Supervisor,Julie Pitkanen
10153,Directing,1.0,Script Supervisor,Heather Harris
2898,Directing,1.0,Other,Susan Perlman
320011,Directing,1.0,Director,Kari Skogland
11808,Directing,1.0,Script Supervisor,Dru Anne Carlson
32911,Directing,1.0,Script Supervisor,Wendy Lee Roberts
93350,Directing,1.0,Script Supervisor,Christine Gee
32144,Directing,1.0,Director,Lesli Linka Glatter
2157,Directing,1.0,Script Supervisor,Nikki Clapp
29193,Directing,1.0,Script Supervisor,Mary Cybulski
16980,Directing,1.0,Script Supervisor,Julie Oppenheimer
90414,Directing,1.0,Director,Julie Davis
76330,Directing,1.0,Director,Barbara Kopple
55561,Directing,1.0,Director,Jill Sprecher
8656,Directing,1.0,Director,Mimi Leder
58680,Directing,1.0,Director,Daisy von Scherler Mayer
9844,Directing,1.0,Script Supervisor,Rebecca Robertson
1965,Directing,1.0,Script Supervisor,Dru Anne Carlson
312,Directing,1.0,Director,Caroline Link
6068,Directing,1.0,Script Supervisor,Judith Saunders
15037,Directing,1.0,Director,Deborah Kaplan
37636,Directing,1.0,Director,Lisa Cholodenko
3050,Directing,1.0,Director,Betty Thomas
95,Directing,1.0,Script Supervisor,Karen Golden
35680,Directing,1.0,Director,Daisy von Scherler Mayer
1366,Directing,1.0,Script Supervisor,Bonnie Prendergast
12102,Directing,1.0,Script Supervisor,Renata Stoia
16619,Directing,1.0,Script Supervisor,Julie Pitkanen
13820,Directing,1.0,Script Supervisor,Sharron Reynolds
11284,Directing,1.0,Director,Rachel Talalay
38509,Directing,1.0,Director,Theresa Connelly
9424,Directing,1.0,Script Supervisor,Cristina Weigmann
9835,Directing,1.0,Script Supervisor,Trudy Ramirez
857,Directing,1.0,Script Supervisor,Ana Maria Quintana
9570,Directing,1.0,Script Supervisor,Sandy Nelson
9631,Directing,1.0,Script Supervisor,Sharron Reynolds
9820,Directing,1.0,Director,Nancy Meyers
96196,Directing,1.0,Director,Sandra Goldbacher
26648,Directing,1.0,Director,Liliana Cavani
13380,Directing,1.0,Second Assistant Director,Elizabeth Scherberger
13155,Directing,1.0,Continuity,Sally Jones
2107,Directing,1.0,Script Supervisor,Pamela Alch
10657,Directing,1.0,Script Supervisor,Christine Wilson
11814,Directing,1.0,Script Supervisor,Luca Kouimelis
36647,Directing,1.0,Script Supervisor,Nicole Cummins
17915,Directing,1.0,Director,Randa Haines
19381,Directing,1.0,Director,Sarah Kernochan
1580,Directing,1.0,Script Supervisor,Charlsie Bryant
847,Directing,1.0,Script Supervisor,Sally Jones
2762,Directing,1.0,Script Supervisor,Alma Reville
64398,Directing,1.0,Script Supervisor,Alma Reville
223318,Directing,1.0,Director,Troy Byer
12626,Directing,1.0,Script Supervisor,Mary Bailey
3525,Directing,1.0,Script Supervisor,Mary Bailey
14347,Directing,1.0,Script Supervisor,Sally Jones
1091,Directing,1.0,Script Supervisor,Christine Wilson
73351,Directing,1.0,Director,Susanna Styron
3121,Directing,1.0,Script Supervisor,Joyce King
1890,Directing,1.0,Director,Randa Haines
1955,Directing,1.0,Script Supervisor,Ceri Evans
3600,Directing,1.0,Script Supervisor,Pamela Alch
17037,Directing,1.0,Director,Arlene Sanford
297,Directing,1.0,Script Supervisor,Lisa Katcher
32081,Directing,1.0,Script Supervisor,Kay Chapin
8130,Directing,1.0,Director,Susan Seidelman
707,Directing,1.0,Assistant Director,Barbara Broccoli
9837,Directing,1.0,Director,Brenda Chapman
29968,Directing,1.0,Script Supervisor,Julie Pitkanen
9489,Directing,1.0,Script Supervisor,Dianne Dreyer
9441,Directing,1.0,Script Supervisor,Eva Z. Cabrera
9422,Directing,1.0,Script Supervisor,Jane Goldsmith
125582,Directing,1.0,Director,Maya Angelou
9423,Directing,1.0,Script Supervisor,Deirdre Horgan
9426,Directing,1.0,Script Supervisor,Gillian Richardson
10945,Directing,1.0,Director,Penny Marshall
6187,Directing,1.0,Director,Anne Fontaine
125548,Directing,1.0,Director,Nancy Savoca
170187,Directing,1.0,Director,Daphna Kastner
11622,Directing,1.0,Script Supervisor,Trudy Ramirez
82865,Directing,1.0,Director,Julia Sweeney
18892,Directing,1.0,Script Supervisor,Gabi Endicott
15256,Directing,1.0,Director,Risa Bramon Garcia
8913,Directing,1.0,Director,Mary Lambert
10906,Directing,1.0,Director,Mary Lambert
25748,Directing,1.0,Script Supervisor,Hilary Momberger
47501,Directing,1.0,Script Supervisor,Jessica Lichtner
7341,Directing,1.0,Director,Katt Shea
1641,Directing,1.0,Director,Bronwen Hughes
1641,Directing,1.0,Script Supervisor,Cate Hardman
10212,Directing,1.0,Director,Antonia Bird
11526,Directing,1.0,Director,Katja von Garnier
603,Directing,1.0,Director,Lana Wachowski
603,Directing,1.0,Director,Lilly Wachowski
4951,Directing,1.0,Script Supervisor,Nancy Karlin
186705,Directing,1.0,Director,Marion Vernoux
70687,Directing,1.0,Director,Hilary Brougher
74140,Directing,1.0,Director,Jennifer Baichwal
1844,Directing,1.0,Script Supervisor,Lisa Vick
28941,Directing,1.0,Assistant Director,Kristine Peterson
33194,Directing,1.0,Director,Joan Chen
31498,Directing,1.0,Director,Christy Cabanne
55912,Directing,1.0,Director,María Ripoll
84198,Directing,1.0,Director,Kristi Jacobson
2275,Directing,1.0,Script Supervisor,Patti Dalzell
9032,Directing,1.0,Script Supervisor,Lisa Katcher
13821,Directing,1.0,Assistant Director,Debbie Antoniou
2105,Directing,1.0,Script Supervisor,Annie Welles
1073,Directing,1.0,Script Supervisor,Patricia A. Fullerton
16406,Directing,1.0,Script Supervisor,Susan Marucci
18212,Directing,1.0,Director,Anne Wheeler
13817,Directing,1.0,Director,Ana Kokkinos
24103,Directing,1.0,Script Supervisor,Nikki Clapp
11418,Directing,1.0,Director,Amy Heckerling
2280,Directing,1.0,Director,Penny Marshall
39780,Directing,1.0,Director,Gillian Armstrong
10396,Directing,1.0,Script Supervisor,Mary A. Kelly
9944,Directing,1.0,Script Supervisor,Dianne Dreyer
9349,Directing,1.0,Script Supervisor,Dea Cantu
113273,Directing,1.0,Director,Nanette Burstein
40694,Directing,1.0,Director,Rose Troche
14,Directing,1.0,Script Supervisor,Ana Maria Quintana
142132,Directing,1.0,Director,Allison Anders
1049,Directing,1.0,Script Supervisor,Eva Z. Cabrera
60994,Directing,1.0,Director,Audrey Wells
5622,Directing,1.0,Script Supervisor,Norma Giacchero
12662,Directing,1.0,Script Supervisor,Betty A. Griffin
10388,Directing,1.0,Script Supervisor,Annie Welles
14412,Directing,1.0,Script Supervisor,Pamela Alch
535,Directing,1.0,Script Supervisor,Joanie Blum
11562,Directing,1.0,Script Supervisor,Kay Chapin
11377,Directing,1.0,Script Supervisor,Mary Anne Seward
26149,Directing,1.0,Script Supervisor,Sheila Waldron
46286,Directing,1.0,Script Supervisor,Sharon Cingle
9008,Directing,1.0,Script Supervisor,Julie Pitkanen
9008,Directing,1.0,Script Supervisor,Eva Z. Cabrera
29371,Directing,1.0,Director,Maria Maggenti
1832,Directing,1.0,Script Supervisor,Carol Banker
9264,Directing,1.0,Director,Katt Shea
10399,Directing,1.0,Director,Patricia Rozema
36643,Directing,1.0,Script Supervisor,Nikki Clapp
36094,Directing,1.0,Script Supervisor,Kay Chapin
11005,Directing,1.0,Director,Penny Marshall
9946,Directing,1.0,Script Supervisor,Tricia Ronten
22267,Directing,1.0,Script Supervisor,Lisa Katcher
22267,Directing,1.0,Script Supervisor,Heather Harris
41462,Directing,1.0,Director,Ida Lupino
15506,Directing,1.0,Director,Anjelica Huston
13787,Directing,1.0,Director,Jane Campion
32331,Directing,1.0,Script Supervisor,Mary A. Kelly
1715,Directing,1.0,Script Supervisor,Jane Goldsmith
624,Directing,1.0,Script Supervisor,Joyce King
26578,Directing,1.0,Script Supervisor,Ana Maria Quintana
1213,Directing,1.0,Script Supervisor,Dianne Dreyer
10400,Directing,1.0,Script Supervisor,Samantha Armstrong
12524,Directing,1.0,Director,Julie Taymor
36773,Directing,1.0,Director,Agnieszka Holland
30814,Directing,1.0,Director,Jennifer Leitzes
10384,Directing,1.0,Script Supervisor,Sherry Gallarneau
10384,Directing,1.0,Script Supervisor,Tricia Ronten
125317,Directing,1.0,Director,Marion Hänsel
9644,Directing,1.0,Script Supervisor,Sydney Conrad Shapiro
13342,Directing,1.0,Director,Amy Heckerling
38775,Directing,1.0,Script Supervisor,Joyce King
9475,Directing,1.0,Assistant Director,Amy Sayres
11287,Directing,1.0,Director,Penny Marshall
619,Directing,1.0,Script Supervisor,Karen Golden
10206,Directing,1.0,Director,Fran Rubel Kuzui
4234,Directing,1.0,Script Supervisor,Sheila Waldron
15655,Directing,1.0,Director,Jun Falkenstein
68546,Directing,1.0,Director,Madhur Jaffrey
96484,Directing,1.0,Director,Lynn Hershman Leeson
10385,Directing,1.0,Director,Diane Keaton
11016,Directing,1.0,Script Supervisor,Jean Baker
