movie_id,sum_gender,total_gender,percent_female
526,0.0,2,0.0
530,0.0,1,0.0
531,0.0,3,0.0
532,0.0,2,0.0
533,0.0,5,0.0
534,0.0,2,0.0
535,0.0,2,0.0
537,1.0,2,0.5
539,0.0,2,0.0
540,1.0,1,1.0
541,0.0,3,0.0
543,0.0,3,0.0
544,0.0,4,0.0
547,0.0,3,0.0
548,0.0,2,0.0
549,0.0,3,0.0
550,0.0,1,0.0
551,0.0,3,0.0
552,1.0,2,0.5
553,0.0,1,0.0
557,0.0,4,0.0
558,0.0,6,0.0
559,0.0,5,0.0
561,0.0,3,0.0
562,0.0,2,0.0
563,0.0,1,0.0
564,0.0,2,0.0
565,0.0,1,0.0
567,0.0,2,0.0
568,0.0,4,0.0
570,1.0,1,1.0
571,1.0,2,0.5
573,0.0,2,0.0
574,0.0,2,0.0
576,0.0,3,0.0
577,1.0,1,1.0
578,0.0,3,0.0
579,0.0,3,0.0
580,0.0,1,0.0
582,0.0,1,0.0
583,0.0,5,0.0
584,0.0,4,0.0
585,1.0,6,0.16666666666666666
586,0.0,2,0.0
587,0.0,1,0.0
588,0.0,1,0.0
590,0.0,2,0.0
591,0.0,2,0.0
592,0.0,1,0.0
593,0.0,2,0.0
594,0.0,3,0.0
595,2.0,3,0.6666666666666666
596,0.0,2,0.0
597,0.0,1,0.0
598,0.0,2,0.0
599,0.0,1,0.0
600,0.0,2,0.0
601,1.0,1,1.0
602,0.0,2,0.0
603,2.0,2,1.0
604,2.0,2,1.0
605,2.0,2,1.0
606,0.0,1,0.0
607,0.0,1,0.0
608,0.0,2,0.0
609,0.0,4,0.0
612,0.0,2,0.0
613,0.0,1,0.0
614,0.0,2,0.0
615,0.0,2,0.0
616,0.0,3,0.0
618,0.0,1,0.0
619,0.0,1,0.0
620,0.0,2,0.0
622,0.0,3,0.0
623,0.0,1,0.0
624,0.0,3,0.0
626,0.0,2,0.0
627,0.0,2,0.0
628,2.0,2,1.0
629,0.0,1,0.0
630,1.0,5,0.2
631,0.0,1,0.0
632,0.0,2,0.0
633,0.0,1,0.0
634,2.0,4,0.5
635,0.0,2,0.0
636,0.0,2,0.0
637,0.0,2,0.0
638,0.0,2,0.0
640,0.0,1,0.0
641,0.0,1,0.0
642,0.0,1,0.0
643,0.0,1,0.0
644,0.0,2,0.0
646,0.0,2,0.0
648,0.0,3,0.0
649,0.0,2,0.0
650,0.0,1,0.0
651,0.0,1,0.0
652,0.0,2,0.0
653,0.0,2,0.0
654,0.0,2,0.0
655,0.0,2,0.0
657,0.0,2,0.0
658,0.0,3,0.0
659,0.0,2,0.0
660,0.0,5,0.0
661,0.0,1,0.0
663,0.0,2,0.0
664,1.0,2,0.5
665,0.0,3,0.0
666,0.0,2,0.0
667,0.0,1,0.0
668,0.0,2,0.0
670,0.0,1,0.0
671,1.0,2,0.5
672,1.0,2,0.5
673,1.0,2,0.5
